"Year","Plot","Tag","Taxon","X..cm.","Y..cm.","Tag.offset.x","Tag.offset.y","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Died.this.census.final","Length..cm..prev","Growth","Survival"
2017,10,"101*A","Lupinus argenteus",70,45,-10,-10,0,0,0,0,TRUE,15.5,-15.5,0
2014,46,"1010*A","Carex siccata",160,180,-10,-10,12,14,1,0,FALSE,NA,NA,1
2015,46,"1010*A","Carex siccata",160,180,-10,-10,12,21,0,0,FALSE,12,0,1
2016,46,"1010*A","Carex siccata",160,180,-10,-10,11,12,0,0,FALSE,12,-1,1
2017,46,"1010*A","Carex siccata",160,180,-10,-10,9,7,0,0,FALSE,11,-2,1
2018,46,"1010*A","Carex siccata",160,180,-10,-10,0,0,0,0,TRUE,9,-9,0
2014,46,"1011*A","Carex siccata",150,185,0,-5,16,11,0,0,FALSE,NA,NA,1
2015,46,"1011*A","Carex siccata",150,185,0,-5,17,20,0,0,FALSE,16,1,1
2016,46,"1011*A","Carex siccata",150,185,0,-5,8,10,0,0,FALSE,17,-9,1
2017,46,"1011*A","Carex siccata",150,185,0,-5,13,6,0,0,FALSE,8,5,1
2018,46,"1011*A","Carex siccata",150,185,0,-5,5.5,9,0,0,FALSE,13,-7.5,1
2019,46,"1011*A","Carex siccata",150,185,0,-5,0,0,0,0,FALSE,5.5,-5.5,1
2014,46,"1012*A","Ivesia gordonii",155,190,-10,-10,5,4,0,0,FALSE,NA,NA,1
2015,46,"1012*A","Ivesia gordonii",155,190,-10,-10,9,6,0,0,FALSE,5,4,1
2016,46,"1012*A","Ivesia gordonii",155,190,-10,-10,16,7,24,0,FALSE,9,7,1
2017,46,"1012*A","Ivesia gordonii",155,190,-10,-10,0,0,0,0,TRUE,16,-16,0
2014,46,"1014*A","Eriogonum umbellatum",110,185,-10,-10,10,1,0,0,FALSE,NA,NA,1
2015,46,"1014*A","Eriogonum umbellatum",110,185,-10,-10,10,2,2,0,FALSE,10,0,1
2016,46,"1014*A","Eriogonum umbellatum",110,185,-10,-10,11,3,2,0,FALSE,10,1,1
2017,46,"1014*A","Eriogonum umbellatum",110,185,-10,-10,11,2,4,0,FALSE,11,0,1
2018,46,"1014*A","Eriogonum umbellatum",110,185,-10,-10,10,1.5,3,0,FALSE,11,-1,1
2019,46,"1014*A","Eriogonum umbellatum",110,185,-10,-10,10,1.5,0,0,FALSE,10,0,1
2014,46,"1015*A","Eriogonum umbellatum",80,175,-10,-10,3,1,0,0,FALSE,NA,NA,1
2015,46,"1015*A","Eriogonum umbellatum",80,175,-10,-10,3,2,0,0,FALSE,3,0,1
2016,46,"1015*A","Eriogonum umbellatum",80,175,-10,-10,3,1.5,0,0,FALSE,3,0,1
2017,46,"1015*A","Eriogonum umbellatum",80,175,-10,-10,1.5,1.5,0,0,FALSE,3,-1.5,1
2018,46,"1015*A","Eriogonum umbellatum",80,175,-10,-10,0,0,0,0,TRUE,1.5,-1.5,0
2014,46,"1017*A","Heterotheca villosa",120,145,-2,-10,40,7,23,0,FALSE,NA,NA,1
2015,46,"1017*A","Heterotheca villosa",120,145,-2,-10,35,8,13,0,FALSE,40,-5,1
2016,46,"1017*A","Heterotheca villosa",120,145,-2,-10,45,8,79,0,FALSE,35,10,1
2017,46,"1017*A","Heterotheca villosa",120,145,-2,-10,38,6,44,0,FALSE,45,-7,1
2018,46,"1017*A","Heterotheca villosa",120,145,-2,-10,0,0,0,0,TRUE,38,-38,0
2014,46,"1018*A","Eriogonum umbellatum",130,135,-10,-2,0.5,0.5,0,0,FALSE,NA,NA,1
2015,46,"1018*A","Eriogonum umbellatum",130,135,-10,-2,1,0.5,0,0,FALSE,0.5,0.5,1
2016,46,"1018*A","Eriogonum umbellatum",130,135,-10,-2,7,2,0,0,FALSE,1,6,1
2017,46,"1018*A","Eriogonum umbellatum",130,135,-10,-2,1.5,2,0,0,FALSE,7,-5.5,1
2018,46,"1018*A","Eriogonum umbellatum",130,135,-10,-2,0,0,0,0,TRUE,1.5,-1.5,0
2014,46,"1019*A","Eriogonum umbellatum",135,150,-10,-10,2,1,0,0,FALSE,NA,NA,1
2015,46,"1019*A","Eriogonum umbellatum",135,150,-10,-10,3,1.5,0,0,FALSE,2,1,1
2016,46,"1019*A","Eriogonum umbellatum",135,150,-10,-10,1.5,1,0,0,FALSE,3,-1.5,1
2017,46,"1019*A","Eriogonum umbellatum",135,150,-10,-10,2,1,0,0,FALSE,1.5,0.5,1
2018,46,"1019*A","Eriogonum umbellatum",135,150,-10,-10,2.5,1,0,0,FALSE,2,0.5,1
2019,46,"1019*A","Eriogonum umbellatum",135,150,-10,-10,0,0,0,0,FALSE,2.5,-2.5,1
2014,10,"102*A","Lupinus argenteus",60,40,-10,-10,8,5,0,0,FALSE,NA,NA,1
2015,10,"102*A","Lupinus argenteus",60,40,-10,-10,5,7,0,0,FALSE,8,-3,1
2016,10,"102*A","Lupinus argenteus",60,40,-10,-10,0,0,0,0,TRUE,5,-5,0
2014,46,"1020*A","Carex siccata",30,118,-10,-10,14,11,0,0,FALSE,NA,NA,1
2015,46,"1020*A","Carex siccata",30,118,-10,-10,15,15,1,0,FALSE,14,1,1
2016,46,"1020*A","Carex siccata",30,118,-10,-10,10,12,0,0,FALSE,15,-5,1
2017,46,"1020*A","Carex siccata",30,118,-10,-10,17,8,0,0,FALSE,10,7,1
2018,46,"1020*A","Carex siccata",30,118,-10,-10,14,12,0,0,FALSE,17,-3,1
2019,46,"1020*A","Carex siccata",30,118,-10,-10,15,14,0,0,FALSE,14,1,1
2014,46,"1021*A","Carex siccata",35,120,-10,-10,11,12,0,0,FALSE,NA,NA,1
2015,46,"1021*A","Carex siccata",35,120,-10,-10,10,8,1,0,FALSE,11,-1,1
2016,46,"1021*A","Carex siccata",35,120,-10,-10,5,7,0,0,FALSE,10,-5,1
2017,46,"1021*A","Carex siccata",35,120,-10,-10,0,0,0,0,TRUE,5,-5,0
2014,46,"1022*A","Carex siccata",40,122,-1,1,17,12,0,0,FALSE,NA,NA,1
2015,46,"1022*A","Carex siccata",40,122,-1,1,16,12,1,0,FALSE,17,-1,1
2016,46,"1022*A","Carex siccata",40,122,-1,1,8,12,0,0,FALSE,16,-8,1
2017,46,"1022*A","Carex siccata",40,122,-1,1,13,13,0,0,FALSE,8,5,1
2018,46,"1022*A","Carex siccata",40,122,-1,1,15,12,0,0,FALSE,13,2,1
2019,46,"1022*A","Carex siccata",40,122,-1,1,5,5.5,0,0,FALSE,15,-10,1
2014,47,"1023*A","Lupinus argenteus",95,55,-10,-10,4,2,0,0,FALSE,NA,NA,1
2015,47,"1023*A","Lupinus argenteus",95,55,-10,-10,5.5,3,0,0,FALSE,4,1.5,1
2016,47,"1023*A","Lupinus argenteus",95,55,-10,-10,0,0,0,0,TRUE,5.5,-5.5,0
2014,49,"1024*A","Lupinus argenteus",35,108,-10,-10,9,5,0,0,FALSE,NA,NA,1
2015,49,"1024*A","Lupinus argenteus",35,108,-10,-10,9,6,0,0,FALSE,9,0,1
2016,49,"1024*A","Lupinus argenteus",35,108,-10,-10,0,0,0,0,TRUE,9,-9,0
2014,49,"1025*A","Lupinus argenteus",45,90,-10,-10,11,11,1,0,FALSE,NA,NA,1
2015,49,"1025*A","Lupinus argenteus",45,90,-10,-10,7,4,0,0,FALSE,11,-4,1
2016,49,"1025*A","Lupinus argenteus",45,90,-10,-10,0,0,0,0,TRUE,7,-7,0
2014,49,"1026*A","Lupinus argenteus",50,95,-10,-10,9,7,0,0,FALSE,NA,NA,1
2015,49,"1026*A","Lupinus argenteus",50,95,-10,-10,0,0,0,0,TRUE,9,-9,0
2014,49,"1027*A","Lupinus argenteus",80,85,-10,-10,11,5,0,0,FALSE,NA,NA,1
2015,49,"1027*A","Lupinus argenteus",80,85,-10,-10,0,0,0,0,TRUE,11,-11,0
2014,49,"1028*A","Lupinus argenteus",95,5,-10,-10,2,2,0,0,FALSE,NA,NA,1
2015,49,"1028*A","Lupinus argenteus",95,5,-10,-10,0,0,0,0,TRUE,2,-2,0
2014,49,"1029*A","Lupinus argenteus",0,108,0,10,14,6,0,0,FALSE,NA,NA,1
2015,49,"1029*A","Lupinus argenteus",0,108,0,10,11,8,0,0,FALSE,14,-3,1
2016,49,"1029*A","Lupinus argenteus",0,108,0,10,0,0,0,0,TRUE,11,-11,0
2014,10,"103*A","Lupinus argenteus",80,60,-10,-10,8,7,0,0,FALSE,NA,NA,1
2015,10,"103*A","Lupinus argenteus",80,60,-10,-10,0,0,0,0,FALSE,8,-8,1
2016,10,"103*A","Lupinus argenteus",80,60,-10,-10,2.7,6,0,0,FALSE,0,2.7,1
2017,10,"103*A","Lupinus argenteus",80,60,-10,-10,0,0,0,0,TRUE,2.7,-2.7,0
2014,49,"1030*A","Lupinus argenteus",160,35,-10,-10,15,5,0,0,FALSE,NA,NA,1
2015,49,"1030*A","Lupinus argenteus",160,35,-10,-10,1,1,0,0,FALSE,15,-14,1
2016,49,"1030*A","Lupinus argenteus",160,35,-10,-10,0,0,0,0,TRUE,1,-1,0
2014,49,"1031*A","Eriogonum umbellatum",75,165,-10,-10,36,2,29,0,FALSE,NA,NA,1
2015,49,"1031*A","Eriogonum umbellatum",75,165,-10,-10,41,2,34,0,FALSE,36,5,1
2016,49,"1031*A","Eriogonum umbellatum",75,165,-10,-10,37,2,29,0,FALSE,41,-4,1
2017,49,"1031*A","Eriogonum umbellatum",75,165,-10,-10,37,3,17,0,FALSE,37,0,1
2018,49,"1031*A","Eriogonum umbellatum",75,165,-10,-10,16,3,2,0,FALSE,37,-21,1
2019,49,"1031*A","Eriogonum umbellatum",75,165,-10,-10,19,4.9,23,0,FALSE,16,3,1
2014,49,"1032*A","Heterotheca villosa",55,195,-10,-10,28,8,15,0,FALSE,NA,NA,1
2015,49,"1032*A","Heterotheca villosa",55,195,-10,-10,29,7,12,0,FALSE,28,1,1
2016,49,"1032*A","Heterotheca villosa",55,195,-10,-10,12,2,0,0,FALSE,29,-17,1
2017,49,"1032*A","Heterotheca villosa",55,195,-10,-10,13,6.5,2,0,FALSE,12,1,1
2018,49,"1032*A","Heterotheca villosa",55,195,-10,-10,0,0,0,0,TRUE,13,-13,0
2014,50,"1033*A","Ivesia gordonii",5,5,0,-10,16,5,0,0,FALSE,NA,NA,1
2015,50,"1033*A","Ivesia gordonii",5,5,0,-10,18,5,31,0,FALSE,16,2,1
2016,50,"1033*A","Ivesia gordonii",5,5,0,-10,18,6,26,0,FALSE,18,0,1
2017,50,"1033*A","Ivesia gordonii",5,5,0,-10,0,0,0,0,TRUE,18,-18,0
2014,50,"1034*A","Ivesia gordonii",10,15,10,0,12,3,0,0,FALSE,NA,NA,1
2015,50,"1034*A","Ivesia gordonii",10,15,10,0,15,3,11,0,FALSE,12,3,1
2016,50,"1034*A","Ivesia gordonii",10,15,10,0,14,5,29,0,FALSE,15,-1,1
2017,50,"1034*A","Ivesia gordonii",10,15,10,0,9,3,0,0,FALSE,14,-5,1
2018,50,"1034*A","Ivesia gordonii",10,15,10,0,0,0,0,0,TRUE,9,-9,0
2014,50,"1035*A","Eriogonum umbellatum",15,5,-10,-10,7,1,0,0,FALSE,NA,NA,1
2015,50,"1035*A","Eriogonum umbellatum",15,5,-10,-10,9,2,2,0,FALSE,7,2,1
2016,50,"1035*A","Eriogonum umbellatum",15,5,-10,-10,12,3,1,0,FALSE,9,3,1
2017,50,"1035*A","Eriogonum umbellatum",15,5,-10,-10,11,2,3,0,FALSE,12,-1,1
2018,50,"1035*A","Eriogonum umbellatum",15,5,-10,-10,10,1,0,0,FALSE,11,-1,1
2019,50,"1035*A","Eriogonum umbellatum",15,5,-10,-10,4.3,2.5,0,0,FALSE,10,-5.7,1
2014,50,"1036*A","Heterotheca villosa",21,2,0,10,6,5,1,0,FALSE,NA,NA,1
2015,50,"1036*A","Heterotheca villosa",21,2,0,10,4,1.5,0,0,FALSE,6,-2,1
2016,50,"1036*A","Heterotheca villosa",21,2,0,10,0,0,0,0,TRUE,4,-4,0
2014,50,"1037*A","Ivesia gordonii",23,1,0,10,7,3,0,0,FALSE,NA,NA,1
2015,50,"1037*A","Ivesia gordonii",23,1,0,10,9,4,1,0,FALSE,7,2,1
2016,50,"1037*A","Ivesia gordonii",23,1,0,10,14,5,7,0,FALSE,9,5,1
2017,50,"1037*A","Ivesia gordonii",23,1,0,10,9,4,11,0,FALSE,14,-5,1
2018,50,"1037*A","Ivesia gordonii",23,1,0,10,0,0,0,0,TRUE,9,-9,0
2014,50,"1038*A","Ivesia gordonii",27,3,0,10,3,3,0,0,FALSE,NA,NA,1
2015,50,"1038*A","Ivesia gordonii",27,3,0,10,9,5,1,0,FALSE,3,6,1
2016,50,"1038*A","Ivesia gordonii",27,3,0,10,13,5.5,22,0,FALSE,9,4,1
2017,50,"1038*A","Ivesia gordonii",27,3,0,10,10,4,0,0,FALSE,13,-3,1
2018,50,"1038*A","Ivesia gordonii",27,3,0,10,0,0,0,0,TRUE,10,-10,0
2014,50,"1039*A","Ivesia gordonii",52,15,-10,-10,20,4,0,0,FALSE,NA,NA,1
2015,50,"1039*A","Ivesia gordonii",52,15,-10,-10,22,6,6,0,FALSE,20,2,1
2016,50,"1039*A","Ivesia gordonii",52,15,-10,-10,24,9,2,0,FALSE,22,2,1
2017,50,"1039*A","Ivesia gordonii",52,15,-10,-10,19,7,26,0,FALSE,24,-5,1
2018,50,"1039*A","Ivesia gordonii",52,15,-10,-10,0,0,0,0,TRUE,19,-19,0
2014,10,"104*A","Lupinus argenteus",95,50,-10,-10,11,10,2,0,FALSE,NA,NA,1
2015,10,"104*A","Lupinus argenteus",95,50,-10,-10,14,8.5,2,0,FALSE,11,3,1
2016,10,"104*A","Lupinus argenteus",95,50,-10,-10,15.5,10,2,0,FALSE,14,1.5,1
2017,10,"104*A","Lupinus argenteus",95,50,-10,-10,0,0,0,0,TRUE,15.5,-15.5,0
2014,50,"1040*A","Heterotheca villosa",57,8,-10,-10,1,1,0,0,FALSE,NA,NA,1
2015,50,"1040*A","Heterotheca villosa",57,8,-10,-10,4,2,0,0,FALSE,1,3,1
2016,50,"1040*A","Heterotheca villosa",57,8,-10,-10,9,3,2,0,FALSE,4,5,1
2017,50,"1040*A","Heterotheca villosa",57,8,-10,-10,11,4,7,0,FALSE,9,2,1
2018,50,"1040*A","Heterotheca villosa",57,8,-10,-10,0,0,0,0,TRUE,11,-11,0
2014,50,"1041*A","Ivesia gordonii",60,25,0,-10,10,4,1,0,FALSE,NA,NA,1
2015,50,"1041*A","Ivesia gordonii",60,25,0,-10,12,4,2,0,FALSE,10,2,1
2016,50,"1041*A","Ivesia gordonii",60,25,0,-10,16,6,14,0,FALSE,12,4,1
2017,50,"1041*A","Ivesia gordonii",60,25,0,-10,11,5,10,0,FALSE,16,-5,1
2018,50,"1041*A","Ivesia gordonii",60,25,0,-10,0,0,0,0,TRUE,11,-11,0
2014,50,"1042*A","Eriogonum umbellatum",50,50,-10,-10,15,2,1,0,FALSE,NA,NA,1
2015,50,"1042*A","Eriogonum umbellatum",50,50,-10,-10,11,2,1,0,FALSE,15,-4,1
2016,50,"1042*A","Eriogonum umbellatum",50,50,-10,-10,2.5,2,0,0,FALSE,11,-8.5,1
2017,50,"1042*A","Eriogonum umbellatum",50,50,-10,-10,0,0,0,0,TRUE,2.5,-2.5,0
2014,50,"1043*A","Ivesia gordonii",98,5,0,10,12,3,1,0,FALSE,NA,NA,1
2015,50,"1043*A","Ivesia gordonii",98,5,0,10,17,5,13,0,FALSE,12,5,1
2016,50,"1043*A","Ivesia gordonii",98,5,0,10,12,10,0,0,FALSE,17,-5,1
2017,50,"1043*A","Ivesia gordonii",98,5,0,10,10.5,5,0,0,FALSE,12,-1.5,1
2018,50,"1043*A","Ivesia gordonii",98,5,0,10,0,0,0,0,TRUE,10.5,-10.5,0
2014,50,"1044*A","Ivesia gordonii",100,8,0,10,6,2,0,0,FALSE,NA,NA,1
2015,50,"1044*A","Ivesia gordonii",100,8,0,10,8,5,1,0,FALSE,6,2,1
2016,50,"1044*A","Ivesia gordonii",100,8,0,10,0,0,0,0,TRUE,8,-8,0
2014,50,"1045*A","Ivesia gordonii",110,5,0,10,12,5,0,0,FALSE,NA,NA,1
2015,50,"1045*A","Ivesia gordonii",110,5,0,10,9,3,7,0,FALSE,12,-3,1
2016,50,"1045*A","Ivesia gordonii",110,5,0,10,0,0,0,0,TRUE,9,-9,0
2014,50,"1046*A","Heterotheca villosa",165,40,-10,-10,10,4,2,0,FALSE,NA,NA,1
2015,50,"1046*A","Heterotheca villosa",165,40,-10,-10,18,4,2,0,FALSE,10,8,1
2016,50,"1046*A","Heterotheca villosa",165,40,-10,-10,20,6,11,0,FALSE,18,2,1
2017,50,"1046*A","Heterotheca villosa",165,40,-10,-10,0,0,0,0,TRUE,20,-20,0
2014,50,"1047*A","Eriogonum umbellatum",160,55,-18,-10,37,2,3,0,FALSE,NA,NA,1
2015,50,"1047*A","Eriogonum umbellatum",160,55,-18,-10,36,2,0,0,FALSE,37,-1,1
2016,50,"1047*A","Eriogonum umbellatum",160,55,-18,-10,27,4,4,0,FALSE,36,-9,1
2017,50,"1047*A","Eriogonum umbellatum",160,55,-18,-10,22.5,2.5,2,0,FALSE,27,-4.5,1
2018,50,"1047*A","Eriogonum umbellatum",160,55,-18,-10,8.5,1.5,0,0,FALSE,22.5,-14,1
2019,50,"1047*A","Eriogonum umbellatum",160,55,-18,-10,6,5.5,0,0,FALSE,8.5,-2.5,1
2014,50,"1048*A","Elymus lanceolatus",175,65,-10,-10,12,18,7,0,FALSE,NA,NA,1
2015,50,"1048*A","Elymus lanceolatus",175,65,-10,-10,20,12,2,0,FALSE,12,8,1
2016,50,"1048*A","Elymus lanceolatus",175,65,-10,-10,20,20,9,0,FALSE,20,0,1
2017,50,"1048*A","Elymus lanceolatus",175,65,-10,-10,20,13,3,0,FALSE,20,0,1
2018,50,"1048*A","Elymus lanceolatus",175,65,-10,-10,16,13.5,7,0,FALSE,20,-4,1
2019,50,"1048*A","Elymus lanceolatus",175,65,-10,-10,23,17.5,5,0,FALSE,16,7,1
2014,50,"1049*A","Eriogonum umbellatum",10,185,-10,-10,38,2,9,0,FALSE,NA,NA,1
2015,50,"1049*A","Eriogonum umbellatum",10,185,-10,-10,38,3,51,0,FALSE,38,0,1
2016,50,"1049*A","Eriogonum umbellatum",10,185,-10,-10,40,3,3,0,FALSE,38,2,1
2017,50,"1049*A","Eriogonum umbellatum",10,185,-10,-10,35.5,2,6,0,FALSE,40,-4.5,1
2018,50,"1049*A","Eriogonum umbellatum",10,185,-10,-10,31,1.5,0,0,FALSE,35.5,-4.5,1
2019,50,"1049*A","Eriogonum umbellatum",10,185,-10,-10,0,0,0,0,FALSE,31,-31,1
2014,10,"105*A","Lupinus argenteus",80,45,-10,-10,13,13,2,0,FALSE,NA,NA,1
2015,10,"105*A","Lupinus argenteus",80,45,-10,-10,11.5,9.5,1,0,FALSE,13,-1.5,1
2016,10,"105*A","Lupinus argenteus",80,45,-10,-10,0,0,0,0,TRUE,11.5,-11.5,0
2015,1,"1050*A","Lupinus argenteus",53,175,-10,-10,2.1,2.5,0,1,FALSE,NA,NA,1
2016,1,"1050*A","Lupinus argenteus",53,175,-10,-10,4.5,3.7,0,0,FALSE,2.1,2.4,1
2017,1,"1050*A","Lupinus argenteus",53,175,-10,-10,11,4.5,0,0,FALSE,4.5,6.5,1
2018,1,"1050*A","Lupinus argenteus",53,175,-10,-10,24,8,3,0,FALSE,11,13,1
2019,1,"1050*A","Lupinus argenteus",53,175,-10,-10,15.5,6.5,0,0,FALSE,24,-8.5,1
2015,1,"1051*A","Senecio crassulus",15,180,-10,-10,0.5,1.4,0,1,FALSE,NA,NA,1
2016,1,"1051*A","Senecio crassulus",15,180,-10,-10,0,0,0,0,TRUE,0.5,-0.5,0
2015,1,"1052*A","Ivesia gordonii",190,25,-10,-10,0.5,0.5,0,1,FALSE,NA,NA,1
2016,1,"1052*A","Ivesia gordonii",190,25,-10,-10,1.9,5.2,0,0,FALSE,0.5,1.4,1
2017,1,"1052*A","Ivesia gordonii",190,25,-10,-10,0,0,0,0,TRUE,1.9,-1.9,0
2015,1,"1053*A","Ivesia gordonii",195,25,-10,-10,0.5,0.5,0,1,FALSE,NA,NA,1
2016,1,"1053*A","Ivesia gordonii",195,25,-10,-10,1.8,1.2,0,0,FALSE,0.5,1.3,1
2017,1,"1053*A","Ivesia gordonii",195,25,-10,-10,1.8,1.2,0,0,FALSE,1.8,0,1
2018,1,"1053*A","Ivesia gordonii",195,25,-10,-10,0,0,0,0,TRUE,1.8,-1.8,0
2015,1,"1054*A","Ivesia gordonii",190,36,-10,-10,0.6,0.5,0,1,FALSE,NA,NA,1
2016,1,"1054*A","Ivesia gordonii",190,36,-10,-10,0.7,1,0,0,FALSE,0.6,0.1,1
2017,1,"1054*A","Ivesia gordonii",190,36,-10,-10,0,0,0,0,TRUE,0.7,-0.7,0
2015,1,"1055*A","Ivesia gordonii",200,33,-10,-10,0.6,0.7,0,1,FALSE,NA,NA,1
2016,1,"1055*A","Ivesia gordonii",200,33,-10,-10,2.4,1.5,0,0,FALSE,0.6,1.8,1
2017,1,"1055*A","Ivesia gordonii",200,33,-10,-10,0,0,0,0,TRUE,2.4,-2.4,0
2015,1,"1056*A","Ivesia gordonii",195,24,10,0,0.4,0.5,0,1,FALSE,NA,NA,1
2016,1,"1056*A","Ivesia gordonii",195,24,10,0,0.5,0.5,0,0,FALSE,0.4,0.1,1
2017,1,"1056*A","Ivesia gordonii",195,24,10,0,2,1,0,0,FALSE,0.5,1.5,1
2018,1,"1056*A","Ivesia gordonii",195,24,10,0,0,0,0,0,TRUE,2,-2,0
2015,1,"1057*A","Ivesia gordonii",186,21,-10,-10,0.6,0.8,0,1,FALSE,NA,NA,1
2016,1,"1057*A","Ivesia gordonii",186,21,-10,-10,0.5,0.5,0,0,FALSE,0.6,-0.1,1
2017,1,"1057*A","Ivesia gordonii",186,21,-10,-10,0.8,0.3,0,0,FALSE,0.5,0.3,1
